категория;ПРОДУКТ;ВОДА;БЕЛКИ;ЖИРЫ;УГЛЕВОДЫ;ККАЛ;сырой/готовый
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говядина постная;35.806451612903224;11.451612903225806;0;254.83870967741936;158.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Конина;32.58064516129032;11.290322580645162;0;230.6451612903226;143.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Кролик;27.599999999999998;17.2;0;265.3333333333333;199.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Телятина;;;;;90.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говяжья Печень;24.166666666666664;4.305555555555556;0;136.11111111111111;98.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говяжьи Почки;17.36111111111111;2.5;0;91.66666666666667;66.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говяжье Вымя;17.083333333333336;19.02777777777778;0;240.2777777777778;173.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говяжье Сердце;20.833333333333336;4.166666666666667;0;120.83333333333334;87.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говяжий Язык;18.88888888888889;16.805555555555557;0;226.38888888888889;163.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Почки свинные;18.055555555555557;4.305555555555556;0;111.11111111111111;80.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Печень свинная;26.111111111111114;5.0;0;150.0;108.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Сердце свинное;20.97222222222222;4.444444444444445;0;123.61111111111111;89.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Язык свинной;19.72222222222222;23.333333333333336;0;288.8888888888889;208.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Гуси;23.000000000000004;47.57142857142857;0;520.0;364.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Индейка филе бедра;24.842857142857145;14.542857142857143;0;228.21428571428572;159.75;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Индейка грудка;27.42857142857143;0.8285714285714285;0;120.00000000000001;84.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Куриная грудка;33.714285714285715;2.7142857142857144;0.5714285714285715;161.42857142857144;113.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Курица филе бедра;21.15714285714286;15.800000000000002;0.2571428571428572;228.81428571428572;160.17;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Утки;23.571428571428573;87.42857142857144;0;494.28571428571433;346.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Бычки;70.8;12.8;8.1;5.2;145.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Горбуша;70.5;21.0;7;0.0;147.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Камбала;79.5;16.1;2.6;0.0;88.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Карась;78.9;17.7;1.8;0.0;87.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Карп;79.1;16.0;3.6;0.0;96.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Кета;71.3;22.0;5.6;0.0;138.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Корюшка;79.8;15.5;3.2;0.0;91.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Ледяная;81.8;15.5;1.4;0.0;75.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Лещ;77.7;17.1;4.1;0.0;105.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Семга;62.9;20.8;15.1;0.0;219.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Макрурус;85.0;13.2;0.8;0.0;60.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Минога;75.0;14.7;11.9;0.0;166.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Минтай;80.1;15.9;0.7;0.0;70.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Мойва;75.0;13.4;11.5;0.0;157.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Навага;81.1;16.1;1;0.0;73.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Налим;79.3;18.8;0.6;0.0;81.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Нототения мраморная;73.4;14.8;10.7;0.0;156.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Окунь морской;75.4;17.6;5.2;0.0;117.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Окунь речной;79.2;18.5;0.9;0.0;82.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Осетр;71.4;16.4;10.9;0.0;164.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Палтус;76.9;18.9;3;0.0;103.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Путассу;81.3;16.1;0.9;0.0;72.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Рыба-сабля;75.2;20.3;3.2;0.0;110.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Рыбец каспийский;77.0;19.2;2.4;0.0;98.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Сазан;75.3;18.4;5.3;0.0;121.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Сайра крупная;59.8;18.6;20.8;0.0;262.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Сайра мелкая;71.3;20.4;0.8;0.0;143.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Салака;75.4;17.3;5.6;0.0;121.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Сиг;72.3;19.0;7.5;0.0;144.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Сом;75.0;16.8;8.5;0.0;144.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Ставрида;74.9;18.5;5;0.0;119.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Стерлядь;74.9;17.0;6.1;0.0;320.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Судак;78.9;19.0;0.8;0.0;83.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Треска;80.7;17.5;0.6;0.0;75.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Тунец;74.0;22.7;0.7;0.0;96.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Угольная рыба;71.5;13.2;11.6;0.0;158.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Угорь морской;77.5;19.1;1.9;0.0;94.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Угорь;53.5;14.5;30.5;0.0;333.0;СЫРОЙ ВИД
